[LoggerStatus.SUCCESS] | Installed: zathura-djvu | Sat Oct 19 14:37:53 2024
[LoggerStatus.SUCCESS] | Installed: zathura-pdf-mupdf | Sat Oct 19 14:37:53 2024
[LoggerStatus.SUCCESS] | Installed: cmake | Sat Oct 19 14:37:55 2024
[LoggerStatus.SUCCESS] | Installed: clang | Sat Oct 19 14:37:56 2024
[LoggerStatus.SUCCESS] | Installed: gzip | Sat Oct 19 14:37:56 2024
[LoggerStatus.SUCCESS] | Installed: imagemagick | Sat Oct 19 14:37:57 2024
[LoggerStatus.SUCCESS] | Installed: make | Sat Oct 19 14:37:57 2024
[LoggerStatus.SUCCESS] | Installed: openssh | Sat Oct 19 14:37:58 2024
[LoggerStatus.SUCCESS] | Installed: pulseaudio-bluetooth | Sat Oct 19 14:37:58 2024
[LoggerStatus.SUCCESS] | Installed: shellcheck | Sat Oct 19 14:37:59 2024
[LoggerStatus.SUCCESS] | Installed: vlc | Sat Oct 19 14:38:00 2024
[LoggerStatus.SUCCESS] | Installed: usbutils | Sat Oct 19 14:38:00 2024
[LoggerStatus.SUCCESS] | Installed: picom | Sat Oct 19 14:38:01 2024
[LoggerStatus.SUCCESS] | Installed: networkmanager-openvpn | Sat Oct 19 14:38:01 2024
[LoggerStatus.SUCCESS] | Installed: alsa-plugins | Sat Oct 19 14:38:02 2024
[LoggerStatus.SUCCESS] | Installed: alsa-tools | Sat Oct 19 14:38:02 2024
[LoggerStatus.SUCCESS] | Installed: alsa-utils | Sat Oct 19 14:38:04 2024
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Sat Oct 19 14:38:05 2024
[LoggerStatus.SUCCESS] | Installed: p7zip | Sat Oct 19 14:38:05 2024
[LoggerStatus.SUCCESS] | Installed: gparted | Sat Oct 19 14:38:06 2024
[LoggerStatus.SUCCESS] | Installed: sshfs | Sat Oct 19 14:38:07 2024
[LoggerStatus.SUCCESS] | Installed: openvpn | Sat Oct 19 14:38:07 2024
[LoggerStatus.SUCCESS] | Installed: xclip | Sat Oct 19 14:38:08 2024
[LoggerStatus.SUCCESS] | Installed: gpick | Sat Oct 19 14:38:09 2024
[LoggerStatus.SUCCESS] | Installed: wget | Sat Oct 19 14:38:09 2024
[LoggerStatus.SUCCESS] | Installed: ueberzug | Sat Oct 19 14:38:10 2024
[LoggerStatus.SUCCESS] | Installed: netctl | Sat Oct 19 14:38:11 2024
[LoggerStatus.SUCCESS] | Installed: light | Sat Oct 19 14:38:11 2024
[LoggerStatus.SUCCESS] | Installed: libreoffice | Sat Oct 19 14:39:45 2024
[LoggerStatus.SUCCESS] | Installed: breeze | Sat Oct 19 14:41:56 2024
[LoggerStatus.SUCCESS] | Installed: vulkan-intel | Sat Oct 19 14:42:01 2024
[LoggerStatus.SUCCESS] | Installed: intel-ucode | Sat Oct 19 14:42:07 2024
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono | Sat Oct 19 14:42:11 2024
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Sat Oct 19 14:42:19 2024
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Sat Oct 19 14:42:23 2024
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Sat Oct 19 14:43:11 2024
[LoggerStatus.SUCCESS] | Installed: cava | Sat Oct 19 14:43:45 2024
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Sat Oct 19 14:44:18 2024
[LoggerStatus.SUCCESS] | Installed: ptpython | Sat Oct 19 14:44:58 2024
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Sat Oct 19 14:45:08 2024
[LoggerStatus.SUCCESS] | [+] Installed Dev Dependencies | Sat Oct 19 14:45:08 2024
[LoggerStatus.SUCCESS] | Installed: discord | Sat Oct 19 14:46:29 2024
[LoggerStatus.SUCCESS] | Installed: filezilla | Sat Oct 19 14:46:41 2024
[LoggerStatus.SUCCESS] | Installed: chromium | Sat Oct 19 14:47:24 2024
[LoggerStatus.SUCCESS] | Installed: keepassxc | Sat Oct 19 14:47:33 2024
[LoggerStatus.SUCCESS] | Installed: gufw | Sat Oct 19 14:47:59 2024
[LoggerStatus.SUCCESS] | Installed: python-pywal | Sat Oct 19 14:48:02 2024
[LoggerStatus.SUCCESS] | Installed: bleachbit | Sat Oct 19 14:48:07 2024
[LoggerStatus.SUCCESS] | Installed: gnome-firmware | Sat Oct 19 14:48:36 2024
[LoggerStatus.SUCCESS] | Installed: touche | Sat Oct 19 14:48:36 2024
[LoggerStatus.SUCCESS] | Installed: dconf-editor | Sat Oct 19 14:48:40 2024
[LoggerStatus.SUCCESS] | Installed: neovim | Sat Oct 19 14:49:00 2024
[LoggerStatus.SUCCESS] | Installed: telegram-desktop | Sat Oct 19 14:49:26 2024
[LoggerStatus.SUCCESS] | Installed: tmux | Sat Oct 19 14:49:31 2024
[LoggerStatus.SUCCESS] | Installed: code | Sat Oct 19 14:50:17 2024
[LoggerStatus.SUCCESS] | Installed: deluge-gtk | Sat Oct 19 14:51:06 2024
[LoggerStatus.SUCCESS] | Installed: flameshot | Sat Oct 19 14:51:16 2024
[LoggerStatus.SUCCESS] | Installed: obsidian | Sat Oct 19 14:51:42 2024
[LoggerStatus.SUCCESS] | Installed: python-pip | Sat Oct 19 14:51:50 2024
[LoggerStatus.SUCCESS] | Installed: bpython | Sat Oct 19 14:52:04 2024
[LoggerStatus.SUCCESS] | Installed: ipython | Sat Oct 19 14:52:31 2024
[LoggerStatus.SUCCESS] | Installed: cloc | Sat Oct 19 14:52:53 2024
[LoggerStatus.SUCCESS] | Installed: evince | Sat Oct 19 14:53:31 2024
[LoggerStatus.SUCCESS] | Installed: gnome-calculator | Sat Oct 19 14:53:39 2024
[LoggerStatus.SUCCESS] | Installed: gnome-disk-utility | Sat Oct 19 14:53:46 2024
[LoggerStatus.SUCCESS] | Installed: gucharmap | Sat Oct 19 14:53:50 2024
[LoggerStatus.SUCCESS] | Installed: gthumb | Sat Oct 19 14:54:01 2024
[LoggerStatus.SUCCESS] | Installed: gnome-clocks | Sat Oct 19 14:54:13 2024
[LoggerStatus.SUCCESS] | [+] Prepare Multilib | Sat Oct 19 14:54:13 2024
[LoggerStatus.SUCCESS] | [+] Update Multilib Repository | Sat Oct 19 14:54:13 2024
[LoggerStatus.SUCCESS] | [+] Install Nvidia & Intel Drivers | Sat Oct 19 14:54:30 2024
